year,temp
1854,49.15
1855,46.52
1871,48.8
1881,47.95
1882,47.31
1883,44.64
1884,45.93
1885,43.41
1890,48.09
1891,47.71
1892,46.13
1893,45.1
1894,48.32
1895,46.39
1896,47.7
1897,47.61
1898,48.89
1899,48.29
1900,48.79
1901,47.3
1902,47.69
1903,46.54
1904,44.61
1905,46.57
1906,48.42
1907,44.62
1908,47.5
1909,46.53
1910,46.93
1911,48.23
1912,45.22
1913,48.37
1914,46.58
1915,46.21
1916,46.58
1917,43.48
1918,46.88
1919,48.15
1920,46.09
1921,49.97
1922,48.37
1923,46.74
1924,45.21
1925,47.06
1926,45.33
1927,48.18
1928,47.28
1929,46.55
1930,48.92
1931,51.17
1932,48.55
1933,49.4
1934,48.66
1935,47.26
1936,47.55
1937,47.73
1938,50.08
1939,49.58
1940,46.71
1941,49.91
1942,48.29
1943,47.12
1944,48.83
1945,47.63
1946,49.45
1947,46.83
1948,48.17
1949,50.19
1951,47.58
1952,50.13
1953,50.88
1956,48.6
1957,48.49
1958,47.38
1959,48.79
1960,47.04
1962,48.21
1963,48.12
1964,49.66
1965,47.84
1966,48.61
1967,48.04
1968,49.09
1969,48.94
1970,49.15
1971,49.48
1972,47.34
1973,50.41
1974,48.1
1975,47.99
1976,46.5
1977,47.17
1978,45.75
1979,46.1
1980,46.43
1981,47.09
1982,47.07
1983,48.19
1984,47.94
1985,47.44
1986,48.16
1987,49.99
1988,48.11
1989,46.5
1990,49.49
1991,49.98
1992,47.01
1993,47
1994,47.86
1995,47.73
1996,46.44
1997,46.83
1998,51.89
1999,49.69
2000,48.22
