Butterfat,Breed,Age
3.74,Ayrshire,Mature
4.01,Ayrshire,2year
3.77,Ayrshire,Mature
3.78,Ayrshire,2year
4.1,Ayrshire,Mature
4.06,Ayrshire,2year
4.27,Ayrshire,Mature
3.94,Ayrshire,2year
4.11,Ayrshire,Mature
4.25,Ayrshire,2year
4.44,Ayrshire,Mature
4.37,Ayrshire,2year
4.25,Ayrshire,Mature
3.71,Ayrshire,2year
4.08,Ayrshire,Mature
3.9,Ayrshire,2year
4.41,Ayrshire,Mature
4.11,Ayrshire,2year
4.37,Ayrshire,Mature
3.53,Ayrshire,2year
3.92,Canadian,Mature
4.95,Canadian,2year
4.47,Canadian,Mature
4.28,Canadian,2year
4.07,Canadian,Mature
4.1,Canadian,2year
4.38,Canadian,Mature
3.98,Canadian,2year
4.46,Canadian,Mature
5.05,Canadian,2year
4.29,Canadian,Mature
5.24,Canadian,2year
4.43,Canadian,Mature
4,Canadian,2year
4.62,Canadian,Mature
4.29,Canadian,2year
4.85,Canadian,Mature
4.66,Canadian,2year
4.4,Canadian,Mature
4.33,Canadian,2year
4.54,Guernsey,Mature
5.18,Guernsey,2year
5.75,Guernsey,Mature
5.04,Guernsey,2year
4.64,Guernsey,Mature
4.79,Guernsey,2year
4.72,Guernsey,Mature
3.88,Guernsey,2year
5.28,Guernsey,Mature
4.66,Guernsey,2year
5.3,Guernsey,Mature
4.5,Guernsey,2year
4.59,Guernsey,Mature
5.04,Guernsey,2year
4.83,Guernsey,Mature
4.55,Guernsey,2year
4.97,Guernsey,Mature
5.38,Guernsey,2year
5.39,Guernsey,Mature
5.97,Guernsey,2year
3.4,Holstein-Fresian,Mature
3.55,Holstein-Fresian,2year
3.83,Holstein-Fresian,Mature
3.95,Holstein-Fresian,2year
4.43,Holstein-Fresian,Mature
3.7,Holstein-Fresian,2year
3.3,Holstein-Fresian,Mature
3.93,Holstein-Fresian,2year
3.58,Holstein-Fresian,Mature
3.54,Holstein-Fresian,2year
3.79,Holstein-Fresian,Mature
3.66,Holstein-Fresian,2year
3.58,Holstein-Fresian,Mature
3.38,Holstein-Fresian,2year
3.71,Holstein-Fresian,Mature
3.94,Holstein-Fresian,2year
3.59,Holstein-Fresian,Mature
3.55,Holstein-Fresian,2year
3.55,Holstein-Fresian,Mature
3.43,Holstein-Fresian,2year
4.8,Jersey,Mature
6.45,Jersey,2year
5.18,Jersey,Mature
4.49,Jersey,2year
5.24,Jersey,Mature
5.7,Jersey,2year
5.41,Jersey,Mature
4.77,Jersey,2year
5.18,Jersey,Mature
5.23,Jersey,2year
5.75,Jersey,Mature
5.14,Jersey,2year
5.25,Jersey,Mature
4.76,Jersey,2year
5.18,Jersey,Mature
4.22,Jersey,2year
5.98,Jersey,Mature
4.85,Jersey,2year
6.55,Jersey,Mature
5.72,Jersey,2year
