"family","father","mother","midparentHeight","children","childNum","gender","childHeight"
"001",78.5,67,75.43,4,1,"male",73.2
"001",78.5,67,75.43,4,2,"female",69.2
"001",78.5,67,75.43,4,3,"female",69
"001",78.5,67,75.43,4,4,"female",69
"002",75.5,66.5,73.66,4,1,"male",73.5
"002",75.5,66.5,73.66,4,2,"male",72.5
"002",75.5,66.5,73.66,4,3,"female",65.5
"002",75.5,66.5,73.66,4,4,"female",65.5
"003",75,64,72.06,2,1,"male",71
"003",75,64,72.06,2,2,"female",68
"004",75,64,72.06,5,1,"male",70.5
"004",75,64,72.06,5,2,"male",68.5
"004",75,64,72.06,5,3,"female",67
"004",75,64,72.06,5,4,"female",64.5
"004",75,64,72.06,5,5,"female",63
"005",75,58.5,69.09,6,1,"male",72
"005",75,58.5,69.09,6,2,"male",69
"005",75,58.5,69.09,6,3,"male",68
"005",75,58.5,69.09,6,4,"female",66.5
"005",75,58.5,69.09,6,5,"female",62.5
"005",75,58.5,69.09,6,6,"female",62.5
"006",74,68,73.72,1,1,"female",69.5
"007",74,68,73.72,6,1,"male",76.5
"007",74,68,73.72,6,2,"male",74
"007",74,68,73.72,6,3,"male",73
"007",74,68,73.72,6,4,"male",73
"007",74,68,73.72,6,5,"female",70.5
"007",74,68,73.72,6,6,"female",64
"008",74,66.5,72.91,3,1,"female",70.5
"008",74,66.5,72.91,3,2,"female",68
"008",74,66.5,72.91,3,3,"female",66
"009",74.5,66,72.89,1,1,"female",66
"010",74,65.5,72.37,1,1,"female",65.5
"011",74,62,70.48,8,1,"male",74
"011",74,62,70.48,8,2,"male",70
"011",74,62,70.48,8,3,"female",68
"011",74,62,70.48,8,4,"female",67
"011",74,62,70.48,8,5,"female",67
"011",74,62,70.48,8,6,"female",66
"011",74,62,70.48,8,7,"female",63.5
"011",74,62,70.48,8,8,"female",63
"012",74,61,69.94,1,1,"female",65
"013",73,67,72.68,2,1,"male",71
"013",73,67,72.68,2,2,"female",62
"014",73,67,72.68,2,1,"male",68
"014",73,67,72.68,2,2,"male",67
"015",73,66.5,72.41,3,1,"male",71
"015",73,66.5,72.41,3,2,"male",70.5
"015",73,66.5,72.41,3,3,"female",66.7
"016",73,65,71.6,9,1,"male",72
"016",73,65,71.6,9,2,"male",70.5
"016",73,65,71.6,9,3,"male",70.2
"016",73,65,71.6,9,4,"male",70.2
"016",73,65,71.6,9,5,"male",69.2
"016",73,65,71.6,9,6,"female",68.7
"016",73,65,71.6,9,7,"female",66.5
"016",73,65,71.6,9,8,"female",64.5
"016",73,65,71.6,9,9,"female",63.5
"017",73,64.5,71.33,6,1,"male",74
"017",73,64.5,71.33,6,2,"male",73
"017",73,64.5,71.33,6,3,"male",71.5
"017",73,64.5,71.33,6,4,"male",62.5
"017",73,64.5,71.33,6,5,"female",66.5
"017",73,64.5,71.33,6,6,"female",62.3
"018",73,64,71.06,3,1,"female",66
"018",73,64,71.06,3,2,"female",64.5
"018",73,64,71.06,3,3,"female",64
"019",73.2,63,70.62,1,1,"female",62.7
"020",72.7,69,73.61,8,1,"male",73.2
"020",72.7,69,73.61,8,2,"male",73
"020",72.7,69,73.61,8,3,"male",72.7
"020",72.7,69,73.61,8,4,"female",70
"020",72.7,69,73.61,8,5,"female",69
"020",72.7,69,73.61,8,6,"female",68.5
"020",72.7,69,73.61,8,7,"female",68
"020",72.7,69,73.61,8,8,"female",66
"021",72,68,72.72,3,1,"male",73
"021",72,68,72.72,3,2,"female",68.5
"021",72,68,72.72,3,3,"female",68
"022",72,67,72.18,3,1,"male",73
"022",72,67,72.18,3,2,"male",71
"022",72,67,72.18,3,3,"female",67
"023",72,65,71.1,7,1,"male",74.2
"023",72,65,71.1,7,2,"male",70.5
"023",72,65,71.1,7,3,"male",69.5
"023",72,65,71.1,7,4,"female",66
"023",72,65,71.1,7,5,"female",65.5
"023",72,65,71.1,7,6,"female",65
"023",72,65,71.1,7,7,"female",65
"024",72,65.5,71.37,1,1,"female",65.5
"025",72,64,70.56,2,1,"female",66
"025",72,64,70.56,2,2,"female",63
"026",72,63,70.02,5,1,"male",70.5
"026",72,63,70.02,5,2,"male",70.5
"026",72,63,70.02,5,3,"male",69
"026",72,63,70.02,5,4,"female",65
"026",72,63,70.02,5,5,"female",63
"027",72,63,70.02,3,1,"male",69
"027",72,63,70.02,3,2,"male",67
"027",72,63,70.02,3,3,"female",63
"028",72,63,70.02,6,1,"male",73
"028",72,63,70.02,6,2,"male",67
"028",72,63,70.02,6,3,"female",70.5
"028",72,63,70.02,6,4,"female",70
"028",72,63,70.02,6,5,"female",66.5
"028",72,63,70.02,6,6,"female",63
