"thorax","longevity","activity"
"1",0.68,37,"many"
"2",0.68,49,"many"
"3",0.72,46,"many"
"4",0.72,63,"many"
"5",0.76,39,"many"
"6",0.76,46,"many"
"7",0.76,56,"many"
"8",0.76,63,"many"
"9",0.76,65,"many"
"10",0.8,56,"many"
"11",0.8,65,"many"
"12",0.8,70,"many"
"13",0.84,63,"many"
"14",0.84,65,"many"
"15",0.84,70,"many"
"16",0.84,77,"many"
"17",0.84,81,"many"
"18",0.84,86,"many"
"19",0.88,70,"many"
"20",0.88,70,"many"
"21",0.92,77,"many"
"22",0.92,77,"many"
"23",0.92,81,"many"
"24",0.94,77,"many"
"25",0.64,40,"isolated"
"26",0.7,37,"isolated"
"27",0.72,44,"isolated"
"28",0.72,47,"isolated"
"29",0.72,47,"isolated"
"30",0.76,47,"isolated"
"31",0.78,68,"isolated"
"32",0.8,47,"isolated"
"33",0.84,54,"isolated"
"34",0.84,61,"isolated"
"35",0.84,71,"isolated"
"36",0.84,75,"isolated"
"37",0.84,89,"isolated"
"38",0.88,58,"isolated"
"39",0.88,59,"isolated"
"40",0.88,62,"isolated"
"41",0.88,79,"isolated"
"42",0.88,96,"isolated"
"43",0.92,58,"isolated"
"44",0.92,62,"isolated"
"45",0.92,70,"isolated"
"46",0.92,72,"isolated"
"47",0.92,75,"isolated"
"48",0.92,96,"isolated"
"49",0.94,75,"isolated"
"50",0.64,46,"one"
"51",0.68,42,"one"
"52",0.72,65,"one"
"53",0.76,46,"one"
"54",0.76,58,"one"
"55",0.8,42,"one"
"56",0.8,48,"one"
"57",0.8,58,"one"
"58",0.82,50,"one"
"59",0.82,80,"one"
"60",0.84,63,"one"
"61",0.84,65,"one"
"62",0.84,70,"one"
"63",0.84,70,"one"
"64",0.84,72,"one"
"65",0.84,97,"one"
"66",0.88,46,"one"
"67",0.88,56,"one"
"68",0.88,70,"one"
"69",0.88,70,"one"
"70",0.88,72,"one"
"71",0.88,76,"one"
"72",0.88,90,"one"
"73",0.92,76,"one"
"74",0.92,92,"one"
"75",0.68,21,"low"
"76",0.68,40,"low"
"77",0.72,44,"low"
"78",0.76,54,"low"
"79",0.78,36,"low"
"80",0.8,40,"low"
"81",0.8,56,"low"
"82",0.8,60,"low"
"83",0.84,48,"low"
"84",0.84,53,"low"
"85",0.84,60,"low"
"86",0.84,60,"low"
"87",0.84,65,"low"
"88",0.84,68,"low"
"89",0.88,60,"low"
"90",0.88,81,"low"
"91",0.88,81,"low"
"92",0.9,48,"low"
"93",0.9,48,"low"
"94",0.9,56,"low"
"95",0.9,68,"low"
"96",0.9,75,"low"
"97",0.9,81,"low"
"98",0.92,48,"low"
"99",0.92,68,"low"
"100",0.64,16,"high"
"101",0.64,19,"high"
"102",0.68,19,"high"
"103",0.72,32,"high"
"104",0.72,33,"high"
"105",0.74,33,"high"
"106",0.76,30,"high"
"107",0.76,42,"high"
"108",0.76,42,"high"
"109",0.78,33,"high"
"110",0.8,26,"high"
"111",0.8,30,"high"
"112",0.82,40,"high"
"113",0.82,54,"high"
"114",0.84,34,"high"
"115",0.84,34,"high"
"116",0.84,47,"high"
"117",0.84,47,"high"
"118",0.88,42,"high"
"119",0.88,47,"high"
"120",0.88,54,"high"
"121",0.88,54,"high"
"122",0.88,56,"high"
"123",0.88,60,"high"
"124",0.92,44,"high"
