yield,block,variety,grams
1,296,I,1,296
2,357,II,1,357
3,340,III,1,340
4,331,IV,1,331
5,348,V,1,348
6,402,I,2,402
7,390,II,2,390
8,431,III,2,431
9,340,IV,2,340
10,320,V,2,320
11,437,I,3,437
12,334,II,3,334
13,426,III,3,426
14,320,IV,3,320
15,296,V,3,296
16,303,I,4,303
17,319,II,4,319
18,310,III,4,310
19,260,IV,4,260
20,242,V,4,242
21,469,I,5,469
22,405,II,5,405
23,442,III,5,442
24,487,IV,5,487
25,394,V,5,394
26,345,I,6,345
27,342,II,6,342
28,358,III,6,358
29,300,IV,6,300
30,308,V,6,308
31,324,I,7,324
32,339,II,7,339
33,357,III,7,357
34,352,IV,7,352
35,220,V,7,220
36,488,I,8,488
37,374,II,8,374
38,401,III,8,401
39,338,IV,8,338
40,320,V,8,320
