"wage","educ","exper","race","smsa","ne","mw","so","we","pt"
771.6,18,18,0,1,1,0,0,0,0
617.28,15,20,0,1,0,0,0,1,0
957.83,16,9,0,1,0,0,1,0,0
617.28,12,24,0,1,1,0,0,0,0
902.18,14,12,0,1,0,1,0,0,0
299.15,12,33,0,1,0,0,0,1,0
541.31,16,42,0,1,0,0,1,0,1
148.39,16,0,0,1,0,1,0,0,1
273.19,12,36,0,1,0,0,0,1,1
666.67,12,37,0,0,0,1,0,0,0
241.5,9,20,1,1,0,0,1,0,1
703.79,14,29,0,1,0,0,1,0,0
550.81,17,16,0,0,1,0,0,0,0
807.22,14,21,0,1,0,0,0,1,1
712.25,14,11,0,0,0,1,0,0,0
351.46,10,10,0,1,0,0,0,1,0
373.24,12,8,0,0,0,0,1,0,0
759.73,13,19,0,1,0,0,1,0,0
356.13,14,6,0,1,1,0,0,0,0
308.64,16,0,0,1,0,0,1,0,0
469.14,6,24,0,0,0,0,1,0,0
617.28,16,-1,0,1,0,0,1,0,0
123.46,16,1,0,1,0,0,0,1,1
474.83,12,11,0,0,0,1,0,0,0
261.16,12,40,0,1,0,1,0,0,0
284.9,12,5,0,1,0,1,0,0,0
1661.92,12,15,0,1,0,0,0,1,0
629.15,12,44,0,1,1,0,0,0,0
2374.15,12,35,0,1,0,0,1,0,0
522.32,16,8,0,1,0,1,0,0,0
688.51,14,12,0,1,0,1,0,0,0
246.91,9,13,0,1,0,0,1,0,0
949.67,5,55,1,1,1,0,0,0,0
261.16,14,7,1,1,0,0,1,0,0
106.86,10,52,0,1,0,1,0,0,1
296.77,12,11,0,1,0,1,0,0,0
379.87,14,8,0,1,0,0,0,1,0
634.92,9,19,0,1,0,0,1,0,0
1182.03,12,45,0,1,0,1,0,0,0
740.74,12,9,0,1,0,1,0,0,0
237.42,10,12,1,1,0,0,1,0,0
144.03,12,0,0,1,1,0,0,0,0
406.96,14,11,0,0,1,0,0,0,0
351.61,9,10,0,0,0,1,0,0,0
593.54,12,10,0,1,1,0,0,0,0
273.03,14,4,0,1,0,0,0,1,0
997.15,12,44,0,1,0,0,0,1,0
1198.96,12,34,0,1,1,0,0,0,0
